rn	BaselineProp.clusters	BaselineProp.Freq	PropMean.CTRLs	PropMean.EFEs	PropRatio	Tstatistic	P.Value	FDR
T-cell	T-cell	0.00379163362410785	0.0132829992300617	0.000724395731546689	18.3366613738882	4.45016991738237	9.99113591165019e-05	0.000999113591165019
Cardiomyocyte	Cardiomyocyte	0.263828310864393	0.608740697508069	0.151041468096431	4.03028853718122	3.91613186945172	0.000342024169103797	0.00171012084551898
SMC	SMC	0.0361072561459159	0.00552427303592539	0.054016514677507	0.102270075529804	-3.74826619248356	0.000562834684611144	0.00187611561537048
EC	EC	0.398889770023791	0.164992869413624	0.494719422413611	0.333507968231094	-3.29454428669723	0.0020701086414523	0.00517527160363075
EndoC	EndoC	0.0120440126883426	0.00293796847297887	0.0129068331428669	0.227628918764056	-2.43165258917753	0.0196020657226001	0.0392041314452003
Mast-cell	Mast-cell	0.00012390959555908	0.000196480793955386	6.34678852500635e-05	3.09575138956106	2.1280056886795	0.0395494109034555	0.0659156848390925
Neuro	Neuro	0.00208168120539255	0.00410613610249544	0.00132962658827583	3.08818741946188	1.99609002405947	0.0527633369919194	0.0753761957027421
Fibroblast	Fibroblast	0.199593576526566	0.120712943850933	0.203691236879231	0.592627084504887	-1.1349158827609	0.263165811962882	0.328957264953602
Pericyte	Pericyte	0.0478291038858049	0.0445659248361528	0.0497814124098051	0.895232229838761	-0.354472463428307	0.72484684098884	0.805385378876489
Macrophage	Macrophage	0.0357107454401269	0.0349397067558052	0.0317256221754757	1.10130879585441	-0.0177386705296098	0.985935518498469	0.985935518498469
