rn	BaselineProp.clusters	BaselineProp.Freq	PropMean.EFEs	PropMean.Fetals	PropRatio	Tstatistic	P.Value	FDR
EC	EC	0.282528841716659	0.494719422413611	0.0321236854338413	15.4004565706661	7.37186241535241	3.1544831054537e-06	2.56275583585298e-05
Mast-cell	Mast-cell	0.00143977849561606	6.34678852500635e-05	0.00325461386157974	0.0195008956359748	-7.06377110770076	5.12551167170596e-06	2.56275583585298e-05
Cardiomyocyte	Cardiomyocyte	0.416908167974158	0.151041468096431	0.758502724116394	0.199131081925097	-6.01736507368851	2.93242695561859e-05	9.77475651872863e-05
EndoC	EndoC	0.00939547761882787	0.0129068331428669	0.00221690886903805	5.82199535719633	3.4288991786836	0.00454175252756171	0.0113543813189043
SMC	SMC	0.0284817720350715	0.054016514677507	0.0061982159127216	8.71484882716658	3.31830427679819	0.00783716497802904	0.0156743299560581
T-cell	T-cell	0.00147669589293955	0.000724395731546689	0.00266564279242031	0.271752739566791	-2.77831651074294	0.0157808902711066	0.0263014837851776
Pericyte	Pericyte	0.0353668666359022	0.0497814124098051	0.0174067408383957	2.85989277785979	2.37180459757656	0.0339845024423492	0.048549289203356
Neuro	Neuro	0.00217812644208583	0.00132962658827583	0.00324249316661133	0.410063034817556	-1.95348248380475	0.0706856688977509	0.0883570861221886
Fibroblast	Fibroblast	0.190881402861098	0.203691236879231	0.149624435621116	1.36135007650103	0.844282005578061	0.412463786432577	0.458293096036196
Macrophage	Macrophage	0.0313428703276419	0.0317256221754757	0.0247645393878812	1.28109074344427	0.432724529592484	0.671693173189232	0.671693173189232
