rn	BaselineProp.clusters	BaselineProp.Freq	PropMean.EFEs	PropMean.Youngs	PropRatio	Tstatistic	P.Value	FDR
T-cell	T-cell	0.00601361323435469	0.000724395731546689	0.0172413126673747	0.0420151148304064	-5.95451146198085	5.47641738573413e-07	5.47641738573413e-06
Mast-cell	Mast-cell	0.000881115492213142	6.34678852500635e-05	0.00267889082236784	0.0236918521352673	-5.70138321636225	1.24225094515824e-06	6.21125472579119e-06
Neuro	Neuro	0.00940590787937529	0.00132962658827583	0.0285966800166399	0.046495837541356	-5.19321813103289	6.38457465588647e-06	2.12819155196216e-05
EC	EC	0.348371037733771	0.494719422413611	0.0869324780216365	5.69084689257887	4.09172924147194	0.000201509589276509	0.000503773973191272
SMC	SMC	0.0347159503931978	0.054016514677507	0.0122127893846869	4.42294655021531	2.53197859018448	0.0153724551646979	0.0307449103293958
Fibroblast	Fibroblast	0.308566645373042	0.203691236879231	0.461358857400105	0.441502820661322	-2.17307353962693	0.0357552000246365	0.0595920000410608
Macrophage	Macrophage	0.0498270810846532	0.0317256221754757	0.0745897022424961	0.425335149781582	-1.57911291929618	0.122186667552075	0.17455238221725
Pericyte	Pericyte	0.0579994272749301	0.0497814124098051	0.0828250856957324	0.60104269125278	-0.768884216850101	0.446478381176844	0.558097976471055
Cardiomyocyte	Cardiomyocyte	0.167808445491993	0.151041468096431	0.214384997347803	0.704533759194876	-0.472134073079371	0.639396752976279	0.71044083664031
EndoC	EndoC	0.0164107760424698	0.0129068331428669	0.0191792064011586	0.672959708181001	-0.268997482940547	0.789314296295639	0.789314296295639
